"date","datatype","station","attributes","value"
"2020-01-24T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.1
"2020-01-24T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10
"2020-01-25T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-25T00:00:00","TMAX","GHCND:ASN00085279",",,a,",25.6
"2020-01-25T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.4
"2020-01-26T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-26T00:00:00","TMAX","GHCND:ASN00085279",",,a,",28
"2020-01-26T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.3
"2020-01-27T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-27T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.6
"2020-01-27T00:00:00","TMIN","GHCND:ASN00085279",",,a,",16.8
"2020-01-28T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-28T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.7
"2020-01-28T00:00:00","TMIN","GHCND:ASN00085279",",,a,",15.4
"2020-01-29T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-29T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.4
"2020-01-29T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.8
"2020-01-30T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-30T00:00:00","TMAX","GHCND:ASN00085279",",,a,",37.8
"2020-01-30T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.3
"2020-01-31T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-31T00:00:00","TMAX","GHCND:ASN00085279",",,a,",43.8
"2020-01-31T00:00:00","TMIN","GHCND:ASN00085279",",,a,",16.4
"2020-02-01T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-01T00:00:00","TMAX","GHCND:ASN00085279",",,a,",37.1
"2020-02-01T00:00:00","TMIN","GHCND:ASN00085279",",,a,",23
"2020-02-02T00:00:00","PRCP","GHCND:ASN00085279",",,a,",2.4
"2020-02-02T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.8
"2020-02-02T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.1
"2020-02-03T00:00:00","PRCP","GHCND:ASN00085279",",,a,",2.2
"2020-02-03T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.8
"2020-02-03T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.5
"2020-02-04T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-04T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.1
"2020-02-04T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.9
"2020-02-05T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-05T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.8
"2020-02-05T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.4
"2020-02-06T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-06T00:00:00","TMAX","GHCND:ASN00085279",",,a,",25.6
"2020-02-06T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.3
"2020-02-07T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-07T00:00:00","TMAX","GHCND:ASN00085279",",,a,",26.4
"2020-02-07T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.2
"2020-02-08T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-08T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.8
"2020-02-08T00:00:00","TMIN","GHCND:ASN00085279",",,a,",17.8
"2020-02-09T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-09T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.7
"2020-02-09T00:00:00","TMIN","GHCND:ASN00085279",",,a,",17.8
"2020-02-10T00:00:00","PRCP","GHCND:ASN00085279",",,a,",2.2
"2020-02-10T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.9
"2020-02-10T00:00:00","TMIN","GHCND:ASN00085279",",,a,",17.7
"2020-02-11T00:00:00","PRCP","GHCND:ASN00085279",",,a,",4.6
"2020-02-11T00:00:00","TMAX","GHCND:ASN00085279",",,a,",27.9
"2020-02-11T00:00:00","TMIN","GHCND:ASN00085279",",,a,",18.5
